kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode38,NAA10_1_75021
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode39,NAA10_1_75006
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode40,NAA10_2_93785
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode41,NAA10_1_93785
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode42,CDK16_M92191
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode43,NIPBL_ctrl
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode44,NIPBL_M94947
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode45,5-IV-6_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode46,F4-PM515_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode47,6-III-7_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode48,2-IV-2_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode49,F4-PM510_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode50,F4-PM508_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode51,F4-PM514_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode52,1-III-10_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode53,1-III-20_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode54,1-V-6_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode55,2-V-22_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode56,F4-PM516_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode57,1-III-23_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode58,1-III-3_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode59,F3-PM478_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode60,1-IV-6_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode61,1-IV-8_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode62,1-III-28_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode63,EIG-PM443_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode64,F1-PM440_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode65,F2-PM499_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode66,1-IV-21_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode67,3-III-10_brain
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode68,F1-PM442_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode69,F2-PM502_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode70,1-III-16_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode71,1-III-31_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode72,F2-PM496_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode73,CAT-Y90_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode74,1-III-22_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode75,BAFME1-PM439_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode76,F1-PM456_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode77,F2-PM503_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode78,F3-PM445_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode79,F5-PM517_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode80,CAT-Y91_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode81,EIG-PM560_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode82,EIG-PM470_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode83,F1-PM458_blood
