kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode77,run004_barcode77
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode78,run004_barcode78
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode79,run004_barcode79
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode80,run004_barcode80
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode81,run004_barcode81
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode82,run004_barcode82
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode83,run004_barcode83
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode84,run004_barcode84
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode85,run004_barcode85
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode86,run004_barcode86
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode87,run004_barcode87
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode88,run004_barcode88
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode89,run004_barcode89
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode90,run004_barcode90
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode91,run004_barcode91
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode92,run004_barcode92
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode93,run004_barcode93
